"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
36,"TAKE 4","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
37,"LET GO","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
38,"ANOTHER LOVE","TOM ODELL","SONY MUSIC UK","SONY MUSIC"
39,"GIVE YOU MY LOVE","GEOLIER","COLUMBIA","SONY MUSIC"
40,"BELLA FREGATURA","ERNIA","ISLAND","UNIVERSAL MUSIC"
41,"TITÍ ME PREGUNTÓ","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
42,"IN TRAPPOLA","GEOLIER FEAT. LELE BLADE","COLUMBIA","SONY MUSIC"
43,"PIOVE","LAZZA & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
44,"PASTELLO BIANCO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
45,"CREEPIN'","METRO BOOMIN, THE WEEKND & 21 SAVAGE","REPUBLIC RECORDS","UNIVERSAL MUSIC"
46,"NOSTALGIA","BLANCO","ISLAND","UNIVERSAL MUSIC"
47,"HERE I COME","GEOLIER","COLUMBIA","SONY MUSIC"
48,"MOLOTOV","LAZZA","ISLAND","UNIVERSAL MUSIC"
49,"NIENTE DI SPECIALE","GEOLIER","COLUMBIA","SONY MUSIC"
50,"DOVE SI BALLA","DARGEN D'AMICO","ISLAND","UNIVERSAL MUSIC"
51,"ACQUA TONICA","ERNIA, GEOLIER & JUNIOR K","ISLAND","UNIVERSAL MUSIC"
52,"STAR WALKIN' (LEAGUE OF LEGENDS WORLDS ANTHEM)","LIL NAS X","COLUMBIA","SONY MUSIC"
53,"VORREI","SHIVA FEAT. LAZZA","MILANO OVEST/COLUMBIA","SONY MUSIC"
54,"MUJER","ICY SUBZERO","COLUMBIA","SONY MUSIC"
55,"MISS YOU","OLIVER TREE & ROBIN SCHULZ","ATLANTIC RECORDS","WARNER MUSIC"
56,"5 GOCCE","IRAMA FEAT. RKOMI","ATLANTIC","WARNER MUSIC"
57,"LA DOLCE VITA","FEDEZ, TANANAI & MARA SATTEI","COLUMBIA/CAPITOL","SONY MUSIC"
58,"DESPECHÁ","ROSALÍA","EPIC","SONY MUSIC"
59,"TÊTE","AVA FEAT. MEDY & VILLABANKS","ATLANTIC","WARNER MUSIC"
60,"IMPORTANTE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
61,"AS IT WAS","HARRY STYLES","COLUMBIA","SONY MUSIC"
62,"EXTASI","FRED DE PALMA","WARNER RECORDS","WARNER MUSIC"
63,"LA BELLAVITA","PAKY & JUL","ISLAND","UNIVERSAL MUSIC"
64,"HEAVEN","BOOMDABASH & EIFFEL 65","B1","UNIVERSAL MUSIC"
65,"LA CODA DEL DIAVOLO","RKOMI & ELODIE","ISLAND","UNIVERSAL MUSIC"
