"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
89,"NEW",1,"OBE","MACE","ISLAND","UNIVERSAL MUSIC"
90,7,6,"MERRY CHRISTMAS","MARIAH CAREY","COLUMBIA","SONY MUSIC"
91,"NEW",1,"PIANETI","ULTIMO","HONIRO","BELIEVE"
92,"NEW",1,"ORANGE COUNTY CALIFORNIA","TEDUA","THAURUS/ISLAND","UNIVERSAL MUSIC"
93,60,6,"NEVERMIND","NIRVANA","GEFFEN RECORDS/USM","UNIVERSAL MUSIC"
94,90,4,"FINE LINE","HARRY STYLES","COLUMBIA","SONY MUSIC"
95,94,3,"ASTROWORLD","TRAVIS SCOTT","EPIC/GRAND HUSTLE/CACTUS JACK","SONY MUSIC"
96,"NEW",1,"DIVINELY UNINSPIRED TO A HELLISH EXTENT","LEWIS CAPALDI","VIRGIN","UNIVERSAL MUSIC"
97,12,3,"SETE","MEZZOSANGUE","COLUMBIA","SONY MUSIC"
98,"NEW",1,"NON SIAMO SOLI","ALEX W","21CO","ARTIST FIRST"
99,33,6,"VASCO LIVE ROMA CIRCO MASSIMO","VASCO ROSSI","VIRGIN","UNIVERSAL MUSIC"
100,93,5,"30","ADELE","COLUMBIA","SONY MUSIC"
